ACT Symbol,Security Name,Exchange
AROC,"Archrock, Inc. Common Stock",N
ARR,"ARMOUR Residential REIT, Inc.",N
ARR$A,Armour Residential REIT INC Preferred Series A,N
ARR$B,"ARMOUR Residential REIT, Inc. Preferred Series B",N
ARW,"Arrow Electronics, Inc. Common Stock",N
ASA,ASA  Gold and Precious Metals Limited,N
ASB,Associated Banc-Corp Common Stock,N
ASB$C,"Associated Banc-Corp Depositary shares, each representing a 1/40th ownership interest in a share of 6.125% Non-Cumulative Perpetual Preferred Stock, Series C",N
ASB$D,"Associated Banc-Corp Depositary Shares, each representing a 1/40th interest in a share of Associated Banc-Corp 5.375% Non-Cumulative Perpetual Preferred Stock, Series D",N
ASC,Ardmore Shipping Corporation Common Stock,N
ASG,"Liberty All-Star Growth Fund, Inc.",N
ASGN,"On Assignment, Inc. Common Stock",N
ASH,Ashland Global Holdings Inc. Common Stock,N
ASIX,AdvanSix Inc. Common Stock ,N
ASPN,"Aspen Aerogels, Inc. Common Stock",N
ASR,"Grupo Aeroportuario del Sureste, S.A. de C.V. Common Stock",N
ASX,"Advanced Semiconductor Engineering, Inc. Common Stock",N
AT,Atlantic Power Corporation Ordinary Shares (Canada),N
ATEN,"A10 Networks, Inc. Common Stock",N
ATGE,Adtalem Global Education Inc. Common Stock,N
ATH,Athene Holding Ltd. Class A Common Shares,N
ATHM,"Autohome Inc. American Depositary Shares, each representing one class A ordinary share.",N
ATI,Allegheny Technologies Incorporated Common Stock,N
ATKR,Atkore International Group Inc. Common Stock,N
ATO,Atmos Energy Corporation Common Stock,N
ATR,"AptarGroup, Inc. Common Stock",N
ATTO,Atento S.A. Ordinary Shares,N
ATU,Actuant Corporation Common Stock,N
ATUS,"Altice USA, Inc. Class A Common Stock",N
ATV,"Acorn International, Inc. ADS",N
ATW,"Atwood Oceanics, Inc. Common Stock",N
AU,AngloGold Ashanti Limited Common Stock,N
AUO,AU Optronics Corp American Depositary Shares,N
AUY,Yamana Gold Inc. Ordinary Shares (Canada),N
AVA,Avista Corporation Common Stock,N
AVAL,Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares),N
AVB,"AvalonBay Communities, Inc. Common Stock",N
AVD,American Vanguard Corporation Common Stock ($0.10 Par Value),N
AVH,Avianca Holdings S.A. American Depositary Shares (Each representing 8 preferred Shares),N
AVK,Advent Claymore Convertible Securities and Income Fund,N
AVP,"Avon Products, Inc. Common Stock",N
AVT,"Avnet, Inc. Common Stock",N
AVX,AVX Corporation Common Stock,N
AVY,Avery Dennison Corporation Common Stock,N
AWF,Alliancebernstein Global High Income Fund,N
AWI,Armstrong World Industries Inc Common Stock,N
AWK,"American Water Works Company, Inc. Common Stock",N
AWP,Alpine Global Premier Properties Fund Alpine Global Premier Properties Fund Common Shares of Beneficial Interest,N
AWR,American States Water Company Common Stock,N
AXE,Anixter International Inc. Common Stock,N
AXL,"American Axle & Manufacturing Holdings, Inc. Common Stock",N
AXP,American Express Company Common Stock,N
AXR,AMREP Corporation Common Stock,N
AXS,Axis Capital Holdings Limited Common Stock,N
AXS$D,Axis Capital Holdings Limited Preferred Series D (Bermuda),N
AXS$E,"Axis Capital Holdings Limited Depositary Shares, each representing 1/100th interest in a share of a 5.50% Series E Preferred Shares",N
AXTA,Axalta Coating Systems Ltd. Common Shares,N
AYI,Acuity Brands Inc (Holding Company),N
AYR,Aircastle Limited Common Stock,N
AYX,"Alteryx, Inc. Class A Common Stock",N
AZN,Astrazeneca PLC Common Stock,N
AZO,"AutoZone, Inc. Common Stock",N
AZRE,Azure Power Global Limited Equity Shares,N
AZUL,Azul S.A. American Depositary Shares (each representing three preferred shares),N
AZZ,AZZ Inc.,N
B,"Barnes Group, Inc. Common Stock",N
BA,Boeing Company (The) Common Stock,N
BABA,Alibaba Group Holding Limited American Depositary Shares each representing one Ordinary share,N
BAC,Bank of America Corporation Common Stock,N
BAC$A,"Bank of America Corporation Depositary Shares, each representing a 1/1,000 th interest in a share of Bank of America Corporation 6.000% Non-Cumulative",N
BAC$C,"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 6.200% Non-Cumulative Preferred Stock, Series C",N
BAC$D,Bank of America Corporation Depositary Shares Rpstg 1/1000th Interest in Sh of Non Cum Pfd Stk Ser D,N
BAC$E,Bank of America Corporation Depositary Sh repstg 1/1000th Perp Pfd Ser E,N
BAC$I,Bank Amer Corp Dep Sh Repstg 1/1000th Pfd Ser I,N
BAC$L,Bank of America Corporation Non Cumulative Perpetual Conv Pfd Ser L,N
BAC$W,Bank of America Corporation Depository Shares Representing 1/1000th Preferred Series W,N
BAC$Y,"Bank of America Corporation Depositary Shares, each representing a 1/1,000 th interest in a share of Bank of America Corporation 6.500% Non-Cumulative Preferred Stock, Series Y",N
BAC.A,"Bank of America Corporation Class A Warrant expiring January 16, 2019",N
BAC.B,Bank of America Corporation Class B Warrants expiring 10/28/2018,N
BAF,BlackRock Municipal Income Investment Quality Trust,N
BAH,Booz Allen Hamilton Holding Corporation Common Stock,N
BAK,Braskem SA ADR,N
BAM,Brookfield Asset Management Inc. Common Stock,N
BANC,"Banc of California, Inc. Common Stock",N
BANC$C,"Banc of California, Inc. Depositary Shares",N
BANC$D,"Banc of California, Inc. Depositary Shares each representing a 1/40th interest in a share of 7.375% Non-Cumulative Perpetual Preferred Stock, Series D",N
BANC$E,"Banc of California, Inc. Depositary Shares Each Representing a 1/40th Interest in a Share of 7.000% Non-Cumulative Perpetual Preferred Stock, Series E",N
BAP,Credicorp Ltd. Common Stock,N
BAS,"Basic Energy Services, Inc. Common Stock",N
BAX,Baxter International Inc. Common Stock,N
BBD,Banco Bradesco Sa American Depositary Shares,N
BBDO,Banco Bradesco Sa American Depositary Shares (each representing one Common Share),N
BBF,BlackRock Municipal Income Investment Trust,N
